"GROUP","TIME","HORIZONTAL","VERTICAL","CIRCLE","LEGATO","NOTE","SLUR UP","SLUR DOWN","BASS KEY","TREBLE KEY","SHARP","FLAT","MARCATO","NATURAL","DIMINUENDO","NUMBER ONE","NUMBER TWO","STACCATO","SULLARCO","UPPERMORDENT"
8,5,1.2,0,0,0,-2.1,0,-2.1,0,0,0,0,0,0,0,0,0,0,-4.1,0
8,6,-1.2,0,0,0,0,0,-3.1,0,0,0,0,0,0,0,0,0,0,0,0
8,7,-1.3,0,0,0,0,0,-1.2,0,0,0,-1.1,0,0,0,0,0,0,0,0
8,8,-1.3,0,0,0,-1.1,0,-2.2,0,0,0,0,0,0,0,0,0,0,0,0
8,9,-1.3,0,0,0,0,0,-2.2,0,0,0,0,0,0,0,0,0,0,0,0
8,10,-1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,11,-1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,12,-1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,13,-1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,14,-1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,15,-1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,16,-1.3,0,0,0,0,-3.2,0,0,0,0,-2.1,0,0,0,0,0,0,0,0
8,17,1.2,0,0,0,-2.1,-3.2,0,0,0,0,0,0,0,0,0,0,0,0,0
8,18,1.2,0,0,0,0,-3.2,0,0,0,0,0,0,0,0,0,0,0,0,0
8,19,1.2,0,0,0,0,-3.2,0,0,0,0,0,0,0,0,0,0,0,0,0
8,20,1.2,0,0,0,0,-2.2,0,0,0,0,0,0,0,0,0,0,0,0,0
8,21,1.2,0,0,0,0,-2.2,0,0,0,0,0,0,0,0,0,0,0,0,0
8,22,1.2,0,0,0,-1.1,-2.1,0,0,0,0,0,0,0,0,0,0,0,-3.1,0
8,23,2.1,0,0,0,0,-1.1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,24,2.1,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,25,0,0,0,0,0,3.1,0,0,0,0,0,-1.1,0,0,0,0,0,0,0
8,26,0,0,0,0,0,0,0,0,0,0,0,-1.1,0,0,0,0,0,0,0
9,1,0,0,0,-2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,0,0,-6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,0,0,0,-7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,4,0,0,0,-8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,5,0,0,0,-9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,6,0,0,0,-9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,7,0,0,0,-10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,8,0,0,0,-10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,0,0,-3.1,-10.1,-4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10,3.1,0,-3.1,-11.1,-3.1,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0
9,11,3.1,0,-3.2,-11.1,1.2,0,0,0,0,0,-2.1,5.1,0,0,0,0,0,0,0
9,12,3.1,0,-3.2,-11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,13,4.1,0,-3.3,-11.1,0,0,0,0,0,0,0,0,0,0,0,0,-2.3,0,3.1
9,14,4.1,0,-3.3,-11.1,0,0,0,0,0,0,0,0,0,0,0,0,-2.3,0,3.1
9,15,2.1,0,-3.2,-11.1,-3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,16,2.1,0,-3.2,-11.1,-2.2,0,0,0,0,0,0,5.1,0,0,0,0,0,0,0
9,17,2.1,0,-3.1,-11.1,-3.2,0,0,0,0,-5.1,0,5.1,0,0,0,0,0,0,0
9,18,2.1,0,-3.1,-11.1,0,0,0,0,0,0,0,-5.1,0,0,0,0,0,0,0
9,19,2.1,0,-4.1,-11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,20,2.1,-5.2,-4.1,-11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,21,2.1,0,-5.1,-10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,22,2.1,0,-5.1,-10.1,0,0,0,0,0,0,0,-4.1,0,0,0,0,0,0,0
9,23,2.1,0,0,-10.1,0,0,0,0,0,0,0,-4.1,0,0,0,0,0,0,0
9,24,2.1,0,0,-9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,25,2.1,0,0,-8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,26,2.1,0,0,-6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,27,2.1,0,0,-1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,28,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,29,2.1,0,0,0,2.1,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0
